OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.44,10.1.1.32,0,23,10.1.1.44,10.1.1.32,5,214.778,215.334,1
10.1.1.125,10.1.0.225,0,24,10.1.1.125,10.1.0.225,0,214.788,-1,0
10.1.1.153,10.1.0.194,0,9,10.1.1.153,10.1.0.194,0,214.815,-1,0
10.1.1.116,10.1.1.122,0,16,10.1.1.116,10.1.1.122,1,214.819,260.941,1
10.1.0.125,10.1.1.48,0,24,10.1.0.125,10.1.1.48,0,214.822,-1,0
10.1.1.172,10.1.1.103,0,20,10.1.1.172,10.1.1.103,0,214.845,214.852,1
10.1.0.210,10.1.0.89,0,26,10.1.0.210,10.1.0.89,4,214.88,215.232,1
10.1.0.182,10.1.0.60,0,18,10.1.0.182,10.1.0.60,0,214.889,-1,0
10.1.0.1,10.1.1.22,28,139,10.1.0.1,10.1.1.22,0,214.906,-1,0
10.1.0.255,10.1.1.54,0,16,10.1.0.255,10.1.1.54,6,214.908,216.499,1
10.1.0.80,10.1.0.89,0,20,10.1.0.80,10.1.0.89,0,214.928,-1,0
10.1.1.132,10.1.0.85,0,24,10.1.1.132,10.1.0.85,0,214.929,-1,0
10.1.1.91,10.1.1.121,0,19,10.1.1.91,10.1.1.121,0,214.932,215.21,1
10.1.1.42,10.1.1.75,0,9,10.1.1.42,10.1.1.75,0,214.934,-1,0
10.1.1.35,10.1.0.85,0,12,10.1.1.35,10.1.0.85,1,214.962,217.392,1
10.1.0.206,10.1.0.118,0,18,10.1.0.206,10.1.0.118,0,214.977,-1,0
10.1.0.181,10.1.1.75,0,16,10.1.0.181,10.1.1.75,0,215.009,-1,0
10.1.0.138,10.1.1.126,0,28,10.1.0.138,10.1.1.126,0,215.01,-1,0
10.1.1.39,10.1.0.57,0,11,10.1.1.39,10.1.0.57,0,215.013,-1,0
10.1.0.239,10.1.1.32,0,27,10.1.0.239,10.1.1.32,0,215.031,-1,0
10.1.1.63,10.1.0.149,0,12,10.1.1.63,10.1.0.149,0,215.081,-1,0
10.1.0.217,10.1.0.27,0,27,10.1.0.217,10.1.0.27,0,215.09,-1,0
10.1.0.180,10.1.0.176,0,14,10.1.0.180,10.1.0.176,0,215.119,-1,0
10.1.1.244,10.1.1.233,0,13,10.1.1.244,10.1.1.233,0,215.141,-1,0
10.1.1.215,10.1.0.88,0,21,10.1.1.215,10.1.0.88,0,215.179,-1,0
10.1.0.147,10.1.1.37,0,11,10.1.0.147,10.1.1.37,5,215.219,219.331,1
10.1.0.36,10.1.0.59,0,13,10.1.0.36,10.1.0.59,0,215.237,284.628,1
10.1.1.57,10.1.1.7,0,25,10.1.1.57,10.1.1.7,0,215.237,-1,0
10.1.0.201,10.1.1.70,0,20,10.1.0.201,10.1.1.70,0,215.241,215.287,1
10.1.0.187,10.1.1.79,0,35,10.1.0.187,10.1.1.79,0,215.248,-1,0
10.1.0.101,10.1.1.59,0,7,10.1.0.101,10.1.1.59,1,215.251,215.311,1
10.1.1.76,10.1.0.81,0,12,10.1.1.76,10.1.0.81,4,215.268,216.032,1
10.1.1.226,10.1.1.182,0,27,10.1.1.226,10.1.1.182,0,215.282,314.404,1
10.1.0.117,10.1.0.239,0,28,10.1.0.117,10.1.0.239,3,215.293,216.244,1
10.1.1.233,10.1.0.79,0,22,10.1.1.233,10.1.0.79,0,215.297,-1,0
10.1.0.255,10.1.1.54,0,17,10.1.0.255,10.1.1.54,0,215.316,-1,0
10.1.0.80,10.1.0.89,0,21,10.1.0.80,10.1.0.89,0,215.319,-1,0
10.1.0.184,10.1.1.76,12,14,10.1.0.184,10.1.1.76,2,215.327,229.028,1
10.1.1.132,10.1.0.85,0,25,10.1.1.132,10.1.0.85,0,215.329,-1,0
10.1.0.171,10.1.1.231,0,11,10.1.0.171,10.1.1.231,0,215.34,-1,0
10.1.1.93,10.1.0.150,0,12,10.1.1.93,10.1.0.150,0,215.342,-1,0
10.1.1.231,10.1.0.211,0,18,10.1.1.231,10.1.0.211,0,215.354,-1,0
10.1.1.35,10.1.0.85,0,13,10.1.1.35,10.1.0.85,0,215.362,-1,0
10.1.1.28,10.1.1.231,0,11,10.1.1.28,10.1.1.231,0,215.363,-1,0
10.1.0.217,10.1.0.27,27,28,10.1.0.217,10.1.0.27,0,215.364,-1,0
10.1.0.67,10.1.0.211,0,11,10.1.0.67,10.1.0.211,0,215.37,-1,0
10.1.0.138,10.1.1.126,0,29,10.1.0.138,10.1.1.126,0,215.4,-1,0
10.1.0.80,10.1.0.18,0,22,10.1.0.80,10.1.0.18,0,215.415,-1,0
10.1.1.139,10.1.0.60,0,34,10.1.1.139,10.1.0.60,8,215.434,217.51,1
10.1.1.2,10.1.1.79,0,20,10.1.1.2,10.1.1.79,0,215.435,-1,0
10.1.1.54,10.1.0.114,0,13,10.1.1.54,10.1.0.114,0,215.443,-1,0
10.1.0.63,10.1.1.123,0,10,10.1.0.63,10.1.1.123,2,215.453,215.707,1
10.1.0.106,10.1.1.6,0,13,10.1.0.106,10.1.1.6,0,215.477,-1,0
10.1.1.228,10.1.1.123,0,13,10.1.1.228,10.1.1.123,0,215.478,215.635,1
10.1.0.127,10.1.0.53,0,19,10.1.0.127,10.1.0.53,5,215.487,216.642,1
10.1.1.127,10.1.1.231,0,12,10.1.1.127,10.1.1.231,4,215.523,215.626,1
10.1.0.206,10.1.0.118,0,19,10.1.0.206,10.1.0.118,0,215.541,-1,0
10.1.1.240,10.1.0.53,0,33,10.1.1.240,10.1.0.53,5,215.558,216.889,1
10.1.0.202,10.1.1.123,0,16,10.1.0.202,10.1.1.123,2,215.581,216.756,1
10.1.1.63,10.1.0.17,0,13,10.1.1.63,10.1.0.17,0,215.604,-1,0
10.1.1.97,10.1.1.5,0,11,10.1.1.97,10.1.1.5,0,215.608,-1,0
10.1.0.147,10.1.1.37,0,12,10.1.0.147,10.1.1.37,0,215.625,-1,0
10.1.1.213,10.1.1.112,0,17,10.1.1.213,10.1.1.112,0,215.632,-1,0
10.1.1.90,10.1.0.53,0,25,10.1.1.90,10.1.0.53,5,215.643,217.75,1
10.1.1.57,10.1.1.7,0,26,10.1.1.57,10.1.1.7,0,215.644,-1,0
10.1.1.150,10.1.0.195,0,14,10.1.1.150,10.1.0.195,0,215.664,-1,0
10.1.1.226,10.1.1.182,0,28,10.1.1.226,10.1.1.182,0,215.682,-1,0
10.1.1.233,10.1.0.79,0,23,10.1.1.233,10.1.0.79,0,215.689,-1,0
10.1.1.65,10.1.0.92,0,12,10.1.1.65,10.1.0.92,1,215.692,220.596,1
10.1.1.124,10.1.0.208,0,17,10.1.1.124,10.1.0.208,0,215.709,-1,0
10.1.0.180,10.1.0.83,0,15,10.1.0.180,10.1.0.83,6,215.737,259.216,1
10.1.1.231,10.1.0.211,0,19,10.1.1.231,10.1.0.211,0,215.758,-1,0
10.1.0.67,10.1.0.211,0,12,10.1.0.67,10.1.0.211,0,215.768,-1,0
10.1.1.41,10.1.0.208,0,12,10.1.1.41,10.1.0.208,0,215.81,-1,0
10.1.0.2,10.1.0.40,20,200,10.1.0.2,10.1.0.40,0,215.81,-1,0
10.1.0.173,10.1.0.222,0,32,10.1.0.173,10.1.0.222,0,215.822,-1,0
10.1.1.139,10.1.0.60,0,35,10.1.1.139,10.1.0.60,0,215.83,-1,0
10.1.1.54,10.1.0.114,0,14,10.1.1.54,10.1.0.114,0,215.84,-1,0
10.1.1.244,10.1.1.233,0,14,10.1.1.244,10.1.1.233,0,215.858,-1,0
10.1.0.255,10.1.1.54,13,18,10.1.0.255,10.1.1.54,0,215.867,-1,0
10.1.0.227,10.1.0.209,0,7,10.1.0.227,10.1.0.209,0,215.867,-1,0
10.1.0.106,10.1.1.6,0,14,10.1.0.106,10.1.1.6,0,215.878,-1,0
10.1.1.132,10.1.0.85,0,26,10.1.1.132,10.1.0.85,0,215.884,-1,0
10.1.0.196,10.1.0.89,0,17,10.1.0.196,10.1.0.89,0,215.889,294.072,1
10.1.0.2,10.1.0.40,20,201,10.1.0.2,10.1.0.40,0,215.9,-1,0
10.1.1.35,10.1.0.85,0,14,10.1.1.35,10.1.0.85,0,215.922,-1,0
10.1.1.198,10.1.0.109,0,21,10.1.1.198,10.1.0.109,0,215.926,-1,0
10.1.1.155,10.1.1.163,0,18,10.1.1.155,10.1.1.163,0,215.944,-1,0
10.1.1.240,10.1.0.53,0,34,10.1.1.240,10.1.0.53,0,215.954,-1,0
10.1.0.3,10.1.1.100,7,117,10.1.0.3,10.1.1.100,0,215.99,-1,0
10.1.1.97,10.1.1.5,0,12,10.1.1.97,10.1.1.5,0,216.007,-1,0
10.1.1.90,10.1.0.53,0,26,10.1.1.90,10.1.0.53,0,216.034,-1,0
10.1.1.115,10.1.0.215,0,19,10.1.1.115,10.1.0.215,0,216.054,216.485,1
10.1.0.141,10.1.1.10,0,22,10.1.0.141,10.1.1.10,0,216.056,-1,0
