OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.0.164,10.1.0.14,0,7,10.1.0.164,10.1.0.14,2,143.222,143.983,1
10.1.1.242,10.1.0.128,0,10,10.1.1.242,10.1.0.128,1,143.277,144.55,1
10.1.0.22,10.1.1.49,0,16,10.1.0.22,10.1.1.49,0,143.302,-1,0
10.1.0.132,10.1.0.19,0,12,10.1.0.132,10.1.0.19,0,143.335,-1,0
10.1.0.113,10.1.0.225,0,18,10.1.0.113,10.1.0.225,4,143.342,143.808,1
10.1.0.177,10.1.0.197,0,19,10.1.0.177,10.1.0.197,2,143.358,143.415,1
10.1.1.109,10.1.0.69,0,20,10.1.1.109,10.1.0.69,0,143.392,-1,0
10.1.0.4,10.1.1.165,5,103,10.1.0.4,10.1.1.165,0,143.401,-1,0
10.1.1.55,10.1.0.193,0,21,10.1.1.55,10.1.0.193,0,143.409,146.683,1
10.1.0.88,10.1.1.90,0,21,10.1.0.88,10.1.1.90,0,143.48,-1,0
10.1.0.71,10.1.1.71,0,10,10.1.0.71,10.1.1.71,0,143.495,143.535,1
10.1.0.111,10.1.0.183,0,27,10.1.0.111,10.1.0.183,0,143.497,-1,0
10.1.1.59,10.1.0.95,0,9,10.1.1.59,10.1.0.95,0,143.502,143.532,1
10.1.0.9,10.1.1.194,0,18,10.1.0.9,10.1.1.194,3,143.506,144.24,1
10.1.0.195,10.1.0.64,0,15,10.1.0.195,10.1.0.64,5,143.535,144.346,1
10.1.0.74,10.1.0.77,0,16,10.1.0.74,10.1.0.77,3,143.549,143.839,1
10.1.0.24,10.1.0.79,0,24,10.1.0.24,10.1.0.79,4,143.609,192.678,1
10.1.0.77,10.1.0.88,0,16,10.1.0.77,10.1.0.88,0,143.626,-1,0
10.1.1.231,10.1.0.14,0,9,10.1.1.231,10.1.0.14,5,143.647,155.465,1
10.1.0.194,10.1.0.224,0,14,10.1.0.194,10.1.0.224,0,143.648,143.651,1
10.1.1.10,10.1.0.45,7,5,10.1.1.10,10.1.0.45,0,143.652,-1,0
10.1.1.180,10.1.1.77,0,12,10.1.1.180,10.1.1.77,4,143.681,229.227,1
10.1.0.3,10.1.1.100,12,100,10.1.0.3,10.1.1.100,0,143.706,-1,0
10.1.0.171,10.1.0.105,0,14,10.1.0.171,10.1.0.105,0,143.71,-1,0
10.1.0.159,10.1.0.79,0,14,10.1.0.159,10.1.0.79,0,143.719,-1,0
10.1.1.217,10.1.0.84,0,15,10.1.1.217,10.1.0.84,4,143.727,297.615,1
10.1.1.112,10.1.0.14,14,13,10.1.1.112,10.1.0.14,4,143.731,144.327,1
10.1.1.147,10.1.0.163,0,18,10.1.1.147,10.1.0.163,0,143.733,-1,0
10.1.0.24,10.1.0.14,14,25,10.1.0.24,10.1.0.14,7,143.759,147.378,1
10.1.0.2,10.1.0.40,9,111,10.1.0.2,10.1.0.40,0,143.808,-1,0
10.1.0.46,10.1.0.166,0,28,10.1.0.46,10.1.0.166,0,143.879,-1,0
10.1.0.88,10.1.1.90,0,22,10.1.0.88,10.1.1.90,0,143.879,-1,0
10.1.0.195,10.1.1.188,0,16,10.1.0.195,10.1.1.188,0,143.883,-1,0
10.1.0.3,10.1.1.100,12,101,10.1.0.3,10.1.1.100,0,143.91,-1,0
10.1.0.195,10.1.0.64,0,17,10.1.0.195,10.1.0.64,0,143.926,-1,0
10.1.0.146,10.1.1.43,0,14,10.1.0.146,10.1.1.43,1,143.957,144.24,1
10.1.0.97,10.1.1.125,0,16,10.1.0.97,10.1.1.125,0,143.984,144.208,1
10.1.0.16,10.1.0.229,0,10,10.1.0.16,10.1.0.229,0,144.024,144.031,1
10.1.1.231,10.1.0.14,0,10,10.1.1.231,10.1.0.14,0,144.041,-1,0
10.1.0.80,10.1.0.44,0,10,10.1.0.80,10.1.0.44,0,144.048,-1,0
10.1.1.195,10.1.1.66,0,13,10.1.1.195,10.1.1.66,0,144.049,144.051,1
10.1.1.72,10.1.0.77,16,20,10.1.1.72,10.1.0.77,1,144.051,144.593,1
10.1.0.11,10.1.1.144,0,10,10.1.0.11,10.1.1.144,0,144.052,-1,0
10.1.0.108,10.1.0.251,0,17,10.1.0.108,10.1.0.251,1,144.089,257.336,1
10.1.1.102,10.1.0.237,0,23,10.1.1.102,10.1.0.237,3,144.099,310.605,1
10.1.0.2,10.1.0.40,9,112,10.1.0.2,10.1.0.40,0,144.1,-1,0
10.1.1.175,10.1.1.190,0,20,10.1.1.175,10.1.1.190,0,144.101,-1,0
10.1.0.171,10.1.0.105,0,15,10.1.0.171,10.1.0.105,0,144.116,-1,0
10.1.0.159,10.1.0.79,0,15,10.1.0.159,10.1.0.79,0,144.119,-1,0
10.1.0.146,10.1.1.43,19,15,10.1.0.146,10.1.1.43,0,144.135,-1,0
10.1.0.252,10.1.1.191,0,17,10.1.0.252,10.1.1.191,0,144.14,-1,0
10.1.1.113,10.1.1.236,0,21,10.1.1.113,10.1.1.236,8,144.148,144.642,1
10.1.0.76,10.1.1.181,0,18,10.1.0.76,10.1.1.181,0,144.17,-1,0
10.1.0.210,10.1.0.44,0,13,10.1.0.210,10.1.0.44,1,144.178,195.833,1
10.1.1.9,10.1.0.190,0,22,10.1.1.9,10.1.0.190,0,144.185,-1,0
10.1.0.25,10.1.0.30,0,9,10.1.0.25,10.1.0.30,1,144.189,144.618,1
10.1.0.227,10.1.1.5,0,5,10.1.0.227,10.1.1.5,0,144.244,-1,0
10.1.1.242,10.1.0.128,0,11,10.1.1.242,10.1.0.128,0,144.258,-1,0
10.1.1.75,10.1.1.71,0,14,10.1.1.75,10.1.1.71,0,144.267,-1,0
10.1.0.106,10.1.0.99,0,11,10.1.0.106,10.1.0.99,0,144.278,-1,0
10.1.0.46,10.1.0.166,0,29,10.1.0.46,10.1.0.166,0,144.282,-1,0
10.1.1.233,10.1.1.143,0,18,10.1.1.233,10.1.1.143,1,144.285,145.172,1
10.1.0.201,10.1.0.137,0,13,10.1.0.201,10.1.0.137,0,144.31,-1,0
10.1.0.254,10.1.1.53,0,16,10.1.0.254,10.1.1.53,0,144.32,144.733,1
10.1.0.90,10.1.0.31,0,20,10.1.0.90,10.1.0.31,7,144.36,193.836,1
10.1.1.215,10.1.0.64,0,22,10.1.1.215,10.1.0.64,5,144.362,145.33,1
10.1.0.43,10.1.0.111,0,32,10.1.0.43,10.1.0.111,7,144.409,146.283,1
10.1.1.63,10.1.1.27,0,13,10.1.1.63,10.1.1.27,0,144.412,-1,0
10.1.1.139,10.1.0.88,0,13,10.1.1.139,10.1.0.88,5,144.434,144.508,1
10.1.1.118,10.1.1.182,0,10,10.1.1.118,10.1.1.182,0,144.493,-1,0
10.1.0.4,10.1.1.165,5,104,10.1.0.4,10.1.1.165,0,144.5,-1,0
10.1.0.2,10.1.0.40,9,113,10.1.0.2,10.1.0.40,0,144.506,-1,0
10.1.0.69,10.1.0.159,0,18,10.1.0.69,10.1.0.159,0,144.528,-1,0
10.1.1.225,10.1.0.113,18,3,10.1.1.225,10.1.0.113,5,144.529,146.544,1
10.1.0.33,10.1.0.2,0,18,10.1.0.33,10.1.0.2,8,144.536,145.04,1
10.1.0.190,10.1.0.191,0,14,10.1.0.190,10.1.0.191,1,144.543,212.786,1
10.1.0.25,10.1.0.30,0,10,10.1.0.25,10.1.0.30,0,144.59,-1,0
10.1.1.169,10.1.1.145,0,9,10.1.1.169,10.1.1.145,0,144.595,-1,0
10.1.0.55,10.1.1.172,0,9,10.1.0.55,10.1.1.172,0,144.636,-1,0
10.1.0.171,10.1.0.105,0,16,10.1.0.171,10.1.0.105,0,144.674,-1,0
10.1.0.106,10.1.0.99,0,12,10.1.0.106,10.1.0.99,0,144.68,-1,0
10.1.1.111,10.1.0.27,0,17,10.1.1.111,10.1.0.27,2,144.682,144.782,1
10.1.1.233,10.1.1.143,0,19,10.1.1.233,10.1.1.143,0,144.689,-1,0
10.1.1.215,10.1.0.14,0,23,10.1.1.215,10.1.0.14,5,144.71,308.726,1
10.1.0.143,10.1.1.215,0,12,10.1.0.143,10.1.1.215,0,144.769,-1,0
10.1.1.104,10.1.0.31,0,20,10.1.1.104,10.1.0.31,1,144.781,156.937,1
