OriginIP,DestIP,DestSeqNo,RREQId,SourceIP,DestinationIP,hopCount,TimeRREQ,TimeRREP,routeFound
10.1.1.4,10.1.1.169,2,6,10.1.1.4,10.1.1.169,0,12.003,-1,0
10.1.1.86,10.1.1.131,0,2,10.1.1.86,10.1.1.131,4,12.0322,206.416,1
10.1.1.198,10.1.1.172,0,2,10.1.1.198,10.1.1.172,1,12.0683,12.4796,1
10.1.1.2,10.1.1.18,0,9,10.1.1.2,10.1.1.18,0,12.102,-1,0
10.1.1.49,10.1.1.37,0,2,10.1.1.49,10.1.1.37,2,12.186,135.082,1
10.1.1.2,10.1.1.18,0,10,10.1.1.2,10.1.1.18,0,12.209,-1,0
10.1.1.198,10.1.1.172,0,3,10.1.1.198,10.1.1.172,0,12.4663,-1,0
10.1.1.2,10.1.1.18,0,11,10.1.1.2,10.1.1.18,0,12.704,-1,0
10.1.1.189,10.1.1.136,0,1,10.1.1.189,10.1.1.136,1,12.761,17.0017,1
10.1.1.2,10.1.1.18,0,12,10.1.1.2,10.1.1.18,0,12.908,-1,0
10.1.1.101,10.1.1.125,0,3,10.1.1.101,10.1.1.125,0,13.0134,-1,0
10.1.1.21,10.1.1.60,0,2,10.1.1.21,10.1.1.60,7,13.0203,132.319,1
10.1.1.40,10.1.1.4,0,2,10.1.1.40,10.1.1.4,2,13.1704,268.018,1
10.1.1.193,10.1.1.170,0,1,10.1.1.193,10.1.1.170,1,13.176,14.2399,1
10.1.1.6,10.1.1.28,0,10,10.1.1.6,10.1.1.28,0,13.269,-1,0
10.1.1.37,10.1.1.111,0,2,10.1.1.37,10.1.1.111,2,13.2697,285.198,1
10.1.1.68,10.1.1.145,0,4,10.1.1.68,10.1.1.145,0,13.3502,-1,0
10.1.1.135,10.1.1.84,0,1,10.1.1.135,10.1.1.84,4,13.3725,206.958,1
10.1.1.21,10.1.1.20,0,3,10.1.1.21,10.1.1.20,3,13.3742,13.4473,1
10.1.1.100,10.1.1.55,0,2,10.1.1.100,10.1.1.55,0,13.3769,103.621,1
10.1.1.100,10.1.1.125,0,3,10.1.1.100,10.1.1.125,2,13.3873,209.164,1
10.1.1.75,10.1.1.135,0,1,10.1.1.75,10.1.1.135,5,13.4548,182.656,1
10.1.1.5,10.1.1.138,0,10,10.1.1.5,10.1.1.138,1,13.4548,210.116,1
10.1.1.41,10.1.1.164,0,3,10.1.1.41,10.1.1.164,4,13.4682,158.35,1
10.1.1.5,10.1.1.62,0,11,10.1.1.5,10.1.1.62,0,13.503,-1,0
